OBJECTID,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m
4536509,8.9,0.0,49.375
4536512,4.65,0.0,37.520833333333336
4536604,26.5,6.35,61.125
4536666,26.8,1.75,63.520833333333336
4536697,27.700000000000003,2.85,62.25
4536699,27.700000000000003,2.85,62.22916666666666
4536814,29.25,2.35,18.666666666666668
4536859,31.85,0.3,50.458333333333336
4536906,22.45,1.75,69.45833333333333
4536939,32.5,0.2,30.166666666666668
4536958,36.25,0.0,21.27083333333333
4537095,28.1,0.0,25.125
4537111,28.75,1.55,43.75
4537211,29.35,0.0,44.708333333333336
4537259,28.25,2.95,59.22916666666666
4537262,25.95,0.0,55.16666666666666
4537309,23.6,2.45,72.33333333333333
4537339,17.8,0.0,38.8125
4537396,27.05,0.0,48.66666666666666
4537399,29.8,0.0,42.75
4537400,35.7,0.0,22.25
4537403,29.35,0.0,37.3125
4537409,24.25,0.0,39.895833333333336
4537413,26.25,0.05,41.520833333333336
4537445,18.1,0.0,47.9375
4537514,32.5,0.05,35.729166666666664
4537520,32.599999999999994,0.0,25.8125
4537523,26.75,0.3,47.208333333333336
4537596,32.6,0.0,36.85416666666666
4537599,34.8,0.0,34.25
4537617,33.95,0.05,53.5
4537639,22.5,0.0,21.9375
4537670,26.5,0.5,41.97916666666666
4537703,33.45,0.0,30.4375
4537710,20.25,0.05,43.895833333333336
4537713,24.1,0.8500000000000001,42.125
4537735,21.8,0.2,36.5625
4537760,34.400000000000006,0.0,25.64583333333333
4537761,30.15,0.0,39.10416666666666
4537765,28.15,0.0,32.541666666666664
4537795,14.5,0.0,59.645833333333336
4537804,27.0,2.9,39.0625
4537809,28.8,0.55,46.16666666666666
4537824,30.65,0.0,32.270833333333336
4537826,31.25,0.0,17.291666666666668
4537833,29.3,0.0,24.64583333333333
4537837,22.3,2.4,46.10416666666666
4537846,31.9,2.0,30.666666666666668
4537857,27.8,0.0,36.35416666666666
4537858,17.200000000000003,1.15,49.91666666666666
4537873,18.950000000000003,1.05,41.083333333333336
4537875,23.8,0.0,34.4375
4537877,20.3,0.75,43.60416666666666
4537892,25.3,0.0,39.270833333333336
4537895,25.45,0.0,29.604166666666668
4537898,33.2,0.0,27.375
4537899,29.950000000000003,0.05,35.208333333333336
4537900,30.05,0.05,35.291666666666664
4537901,23.95,0.0,35.6875
4537923,32.3,0.15,31.64583333333333
4537931,24.7,0.0,33.729166666666664
4537934,25.3,0.05,27.354166666666668
4537936,32.2,0.0,23.041666666666668
4537938,29.15,0.5,30.83333333333333
4537944,23.4,0.0,20.791666666666668
4537951,24.1,0.0,21.416666666666668
4537953,10.0,0.0,25.08333333333333
4537966,20.35,0.15,31.229166666666668
4538017,19.35,1.85,52.60416666666666
4538018,19.5,0.3,45.75
4538019,17.15,0.0,54.3125
4538028,20.5,0.0,22.854166666666668
4538062,34.150000000000006,0.0,22.291666666666668
4538108,35.55,0.0,28.77083333333333
4538211,37.85,0.0,32.6875
4538212,30.950000000000003,0.0,65.6875
4538264,31.75,0.0,27.729166666666668
4538275,31.15,0.2,40.3125
4538282,32.150000000000006,0.15,26.5625
4538291,24.4,0.0,56.125
4538293,38.55,0.0,20.75
4538303,31.85,0.05,29.354166666666668
4538311,32.2,0.15,28.791666666666668
4538340,32.3,0.0,29.666666666666668
4538344,32.9,1.1,27.02083333333333
4538349,32.75,0.0,24.1875
4538440,29.05,0.75,45.208333333333336
4538447,32.099999999999994,0.0,16.520833333333332
4538461,29.1,0.4499999999999999,40.895833333333336
4538481,13.4,2.6,65.25
4538529,32.650000000000006,0.0,62.5625
4538534,30.1,0.0,47.833333333333336
4538555,36.65,0.0,32.958333333333336
4538679,38.8,0.0,27.979166666666668
4538684,36.6,0.0,31.166666666666668
4538742,35.8,0.0,27.45833333333333
4538752,15.5,4.0,83.95833333333333
4538754,13.25,0.05,59.04166666666666
4538788,38.4,0.0,38.9375
4538789,38.85,0.0,39.0625
4538797,35.5,0.0,29.541666666666668
4539035,27.9,0.0,26.89583333333333
4539093,31.200000000000003,0.0,39.97916666666666
4539118,27.6,0.15,42.020833333333336
4539199,31.1,0.0,39.770833333333336
4539241,28.15,0.05,35.0
4539383,26.15,1.1,32.5
4539407,27.8,0.65,66.83333333333333
4539415,24.5,0.0,46.9375
4539575,32.5,0.0,42.125
4539589,24.0,0.65,49.75
4539592,28.450000000000003,0.1,30.70833333333333
4539596,27.5,0.0,34.229166666666664
4539604,29.3,0.0,36.708333333333336
4539609,22.200000000000003,0.45,76.64583333333333
4539646,31.45,0.05,34.5
4539656,31.7,0.0,38.208333333333336
4539669,32.4,0.1,39.41666666666666
4539670,25.95,1.2,41.41666666666666
4539673,31.05,0.0,38.270833333333336
4539715,30.8,0.0,32.791666666666664
4539716,27.05,0.0,44.770833333333336
4539824,24.0,0.95,52.66666666666666
4539840,10.45,4.25,75.52083333333333
4539906,34.849999999999994,0.0,29.5
4539915,29.1,0.0,38.020833333333336
4539941,33.35,0.05,37.333333333333336
4539948,26.4,0.0,58.10416666666666
4539955,37.3,0.0,44.020833333333336
4539959,29.0,0.0,54.60416666666666
4539970,37.15,0.0,43.125
4539980,34.7,0.05,38.833333333333336
4539985,33.6,0.05,47.47916666666666
4539992,13.3,0.0,55.79166666666666
4540009,30.25,0.2,62.5625
4540029,18.75,0.0,61.22916666666666
4540032,22.7,0.0,53.395833333333336
4540058,20.45,0.0,50.47916666666666
4540082,26.65,0.8,79.79166666666667
4540086,24.4,0.0,61.395833333333336
4540089,14.6,0.0,55.6875
4540096,24.3,0.0,72.20833333333333
4540105,30.6,0.35,54.60416666666666
4540106,33.75,0.0,52.35416666666666
4540107,30.1,5.25,88.16666666666667
4540108,30.200000000000003,4.95,89.0625
4540112,31.55,1.05,82.35416666666667
4540125,23.95,6.05,91.83333333333331
4540127,18.0,4.75,55.04166666666666
4540128,16.15,0.0,47.520833333333336
4540129,20.65,3.7,71.97916666666667
4540131,24.35,6.55,83.70833333333333
4540133,24.4,7.1,65.16666666666667
4540135,19.9,0.0,60.958333333333336
4540136,19.95,0.0,60.958333333333336
4540139,25.8,1.55,78.6875
4540148,34.3,0.3,58.833333333333336
4540149,33.4,7.05,75.08333333333333
4540150,33.65,4.949999999999999,73.33333333333333
4540155,6.9,0.0,50.66666666666666
4540157,20.2,0.95,85.875
4540158,20.2,2.0,85.45833333333333
4540161,17.95,1.4,75.16666666666667
4540162,16.9,1.35,69.52083333333333
4540163,18.1,17.65,84.97916666666667
4540167,24.8,1.2999999999999998,85.95833333333333
4540168,25.35,1.4,82.66666666666667
4540171,21.1,0.0,54.41666666666666
4540174,16.85,0.0,56.04166666666666
4540186,24.05,0.0,71.89583333333333
4540190,33.35,0.0,54.145833333333336
4540194,26.1,0.5,74.625
4540195,26.05,0.5,74.625
4540196,23.6,0.0,63.6875
4540197,32.6,0.0,74.47916666666667
4540198,29.8,0.15,75.04166666666667
4540202,16.25,0.0,56.91666666666666
4540204,11.05,0.3,70.02083333333333
4540206,14.1,0.05,63.645833333333336
4540209,13.75,0.0,67.35416666666667
4540212,15.2,0.0,57.020833333333336
4540215,19.1,0.0,46.3125
4540216,18.7,0.0,48.5
4540221,17.8,0.0,60.66666666666666
4540225,22.2,0.15,69.27083333333333
4540227,24.05,5.0,73.9375
4540232,22.75,0.1,70.79166666666667
4540233,23.3,0.9,75.22916666666667
4540238,33.8,0.05,65.75
4540249,11.5,0.0,53.60416666666666
