object_id,fire_date,latitude,longitude,avg_temperature_2m_max,avg_temperature_2m_min,avg_temperature_2m_mean,avg_precipitation_sum,avg_snowfall_sum,avg_wind_speed_10m_max,avg_wind_gusts_10m_max,avg_relative_humidity_2m,avg_pressure_msl,avg_surface_pressure,avg_soil_temperature_0_to_7cm,avg_soil_moisture_0_to_7cm,Unnamed: 0
4536469,2018-07-29 22:51:00,35.4105567932129,-107.41527557373,24.9,11.8,18.25,1.2,0.0,13.05,33.650000000000006,53.708333333333336,1020.0666666666666,753.3229166666666,19.275,0.1847916666666667,
4536486,2018-09-09 23:19:00,35.5219459533691,-107.261947631836,24.8,11.75,17.95,0.0,0.0,19.35,44.45,45.1875,1015.825,775.3000000000001,20.25625,0.1472083333333333,
4536509,2018-02-17 23:00:00,35.5016670227051,-111.550834655762,8.9,-0.5499999999999999,3.5,0.0,0.0,19.6,32.8,49.375,1022.5979166666666,817.3729166666667,5.539583333333334,0.0743333333333333,
4536512,2018-03-06 20:25:00,35.4124984741211,-111.738891601563,4.65,-8.899999999999999,-3.65,0.0,0.0,17.6,44.3,37.520833333333336,1022.6645833333332,760.93125,-1.0520833333333333,0.23175,
4536535,2018-04-27 20:43:00,34.5569458007813,-111.159721374512,22.6,9.45,15.8,0.05,0.0,17.15,45.75,25.416666666666668,1014.5166666666668,795.9125,14.46875,0.1441458333333333,
4536555,2018-06-13 21:30:00,34.5691680908203,-111.313613891602,29.4,14.2,22.0,0.1,0.0,16.75,46.95,15.5,1012.7145833333334,797.7958333333332,20.279166666666665,0.1219583333333333,
4536604,2018-07-10 02:45:00,34.9583320617676,-111.707221984863,26.5,13.8,19.950000000000003,6.35,0.0,11.4,41.2,61.125,1019.1104166666668,809.4916666666667,20.8875,0.2056875,
4536606,2018-07-13 16:00:00,34.4711112976074,-111.290000915527,22.55,12.3,16.65,3.6,0.0,11.45,36.0,81.52083333333333,1019.7604166666666,787.6770833333334,16.458333333333332,0.3165625,
4536645,2018-07-18 02:16:00,35.4636116027832,-111.752777099609,24.2,14.65,19.25,2.9000000000000004,0.0,15.35,39.25,66.58333333333333,1019.5729166666666,784.2104166666668,18.747916666666665,0.3030625,
4536666,2018-07-21 02:00:00,34.8636093139648,-111.598609924316,26.8,17.5,21.6,1.75,0.0,12.45,34.55,63.520833333333336,1017.3583333333332,814.0416666666666,20.539583333333333,0.3514166666666667,
